MinTemp,MaxTemp,WindGustDir,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
16.4,35.2,115.4,5.5,65.9,1025.4,26.3,No
31.5,43.0,181.7,9.1,72.1,1022.2,36.2,No
30.9,47.9,289.5,12.8,68.1,1020.0,38.0,No
22.1,38.8,301.9,11.7,51.2,1025.1,30.1,No
24.0,40.0,134.1,6.8,63.9,1023.9,33.1,Yes
26.1,42.7,290.2,11.8,66.7,1021.9,35.5,Yes
17.7,37.0,229.3,9.1,52.1,1028.6,27.5,No
22.2,44.3,189.7,14.7,67.7,1020.3,34.2,No
33.6,48.8,206.0,8.9,77.4,1018.6,41.0,No
27.9,48.0,41.0,4.5,75.8,1021.7,39.7,No
28.5,41.2,346.0,5.5,86.0,1023.1,36.8,Yes
26.9,40.8,315.9,6.6,80.5,1023.7,34.3,No
25.3,40.8,317.0,8.2,68.4,1021.9,32.8,No
20.1,37.3,289.2,6.9,62.7,1023.4,27.8,No
20.2,44.4,133.0,10.2,59.1,1024.4,30.9,No
21.9,44.6,78.7,6.4,62.8,1022.1,35.1,No
25.9,40.6,308.0,13.6,82.7,1017.3,34.9,Yes
12.8,24.6,304.4,15.2,46.1,1026.3,19.6,No
9.2,28.3,298.5,11.4,53.4,1031.4,17.6,No
11.1,28.4,290.0,11.3,53.0,1026.1,20.0,No
9.1,31.9,281.2,9.1,63.1,1020.1,21.8,No
15.0,32.2,303.5,12.5,71.1,1018.3,23.9,No
10.6,24.9,304.2,14.9,57.6,1023.8,18.8,No
3.7,29.0,116.8,7.1,68.8,1026.6,19.7,No
25.2,40.9,113.9,5.5,76.3,1020.0,32.2,Yes
20.6,40.6,303.7,18.0,71.8,1021.5,32.2,Yes
14.8,33.5,292.4,8.1,48.4,1028.8,23.6,No
17.6,37.3,310.5,11.3,62.3,1022.4,27.6,No
15.0,34.0,311.0,10.7,61.9,1025.8,25.5,No
10.6,41.5,52.1,8.1,59.6,1030.1,25.7,No
26.1,43.4,334.2,7.5,57.2,1025.9,34.0,No
23.9,39.2,292.0,15.8,64.7,1020.6,32.8,No
18.5,33.8,293.8,12.2,66.3,1023.6,25.8,No
14.2,38.9,296.1,15.5,66.3,1023.3,27.9,No
20.5,38.9,310.3,6.8,62.2,1022.9,28.8,No
23.2,43.8,266.7,8.0,72.1,1021.1,33.8,No
31.8,43.0,253.2,10.0,82.8,1019.5,37.1,No
25.7,46.7,277.4,8.8,81.0,1017.3,36.9,No
